cust_id,credit_actual_dt,credit_mat_dt,credit_lmt,credit_term,to_credit_lmt,to_credit_term
zym89011600,67,3958,18500.0,3890,18500.0,2520.125
jd_70a3ba751bb34,-335,305,40000.0,639,40000.0,639.0
陈-茂,109,3958,30000.0,3848,16000.0,2386.8
shadow小影,-534,3958,26250.0,4491,24166.666666666668,2055.6666666666665
jd_42c8bfd7c7c67,308,3958,27500.0,3649,27500.0,3649.0
jd_65c2f5b1c331d,-118,3958,48750.0,4075,40625.0,2248.5
15222133762_p,-34,3958,8125.0,3991,7187.5,2164.5
jd_6a5d53c0a6998,28,3958,8750.0,3929,8750.0,3929.0
18810756960_p,118,3958,12250.0,3839,12250.0,2377.8
jd_648f9b0d6db35,110,3958,12750.0,3847,12083.333333333334,2020.5
shenbanqini,25,305,18750.0,279,15625.0,279.0
kanghaojie147,-125,305,27750.0,429,24625.0,429.0
wdNaZdhOJRyyHyi,-19,3958,6000.0,3976,6000.0,2149.5
jd_730167a638dae,69,3958,3750.0,3888,3750.0,1452.6666666666667
18780134747_p,-152,305,22500.0,456,22500.0,456.0
jd_415639c660928,-33,3958,35000.0,3990,31666.666666666668,2772.3333333333335
jd_4230ee0c53fe9,195,3958,4500.0,3762,4500.0,1935.5
starwoor,-15,305,6125.0,319,6125.0,319.0
wdNYelXkKKgwhZa,-303,3958,12500.0,4260,9375.0,2433.5
952286878_m,-345,305,33750.0,649,33750.0,649.0
jd_41f3d2e3e760d,-785,3958,41250.0,4742,41250.0,2434.842105263158
茅屋小霸王,-698,305,5000.0,1002,5000.0,1002.0
jd_72c7c166f5d2d,-476,3958,28125.0,4433,18000.0,2241.2
陈人铣,249,3958,7500.0,3708,7500.0,3708.0
jd_4500cf1da45c6,-104,3958,15000.0,4061,10714.285714285714,3539.1428571428573
jd_5cd78040d1c23,110,3958,12500.0,3847,12500.0,3847.0
jd_4f1f9d0d390e3,-331,3958,52500.0,4288,46250.0,1678.7142857142858
wdpoxrGlaIbQcf,256,3958,12500.0,3701,12500.0,1874.5
774315363,79,3958,42250.0,3878,42250.0,3147.4
jd_5e2df5fd31af0,-862,3958,53750.0,4819,53750.0,3601.3333333333335
三青木木,-423,3958,38500.0,4380,29875.0,1640.25
jd_7a99e4bd26a48,-498,3958,36000.0,4455,36000.0,3541.75
shizhihui,-905,3958,80000.0,4862,80000.0,2068.529411764706
Sometimes唐茜,278,305,5000.0,26,5000.0,26.0
dongdiancai,-535,3958,50000.0,4492,46875.0,2665.5
chungsuesue,-41,3958,37500.0,3998,37500.0,1156.7777777777778
jd_UQGmTVVuVEKM,249,3958,8750.0,3708,8750.0,3708.0
u_690b9242967fc,-723,3958,35750.0,4680,35550.0,2975.266666666667
jd_6b48702aa2762,-105,3958,26250.0,4062,26250.0,1017.8333333333334
jd_6e9d3fa11f011,-621,305,30500.0,925,24303.571428571428,925.0
jd_6bac65060c080,90,3958,6250.0,3867,6250.0,2870.7272727272725
jd_538268e9cc33d,242,3958,8750.0,3715,8750.0,975.25
jd_4980840881afa,-300,3958,24500.0,4257,20541.666666666668,1821.6666666666667
63680611-33503052,-574,3958,42500.0,4531,42500.0,2704.5
jd_56680fc1550c0,-91,3958,6500.0,4048,6200.0,1856.2
jd_5826306b63131,104,305,6125.0,200,6125.0,200.0
13571975082_p,96,3958,38500.0,3861,34291.666666666664,2034.5
jd_6f3e2ebbf36ca,245,3958,13750.0,3712,13750.0,3712.0
jd_49d389847e412,-416,305,27500.0,720,27500.0,720.0
ldy20011,-708,3958,65000.0,4665,65000.0,2340.3636363636365
jd_6342d74e874b6,-225,3958,18750.0,4182,18750.0,1340.7777777777778
jd_660e858bae2e5,-464,3958,45000.0,4421,25812.5,2137.875
jd_59a5198fd1cab,81,3958,8250.0,3876,8250.0,1266.7142857142858
jd_5245d4c75e7fb,215,305,8750.0,89,8750.0,89.0
13563317779_p,-164,305,16250.0,468,16250.0,468.0
jd_6a6b11bc9685d,-42,3958,31750.0,3999,31750.0,3390.1666666666665
小资情,219,3958,17500.0,3738,17500.0,1911.5
jd_75d699eeaa33f,-591,3958,26000.0,4548,24857.14285714286,4287.071428571428
范燕乐,98,305,10000.0,206,10000.0,206.0
zhangxinyou2012,-802,3958,55000.0,4759,55000.0,2201.9
wdhMgDiZzcvXUG,123,305,8125.0,181,6718.75,181.0
jd_687c012ed9e80,245,305,3750.0,59,3750.0,59.0
jd_4f75d1a641199,172,3958,10875.0,3785,10607.142857142857,2219.4285714285716
jd_5047d90c09fba,-379,305,26250.0,683,24687.5,683.0
jd_4b44baa1a4f3c,237,305,7500.0,67,7500.0,67.0
风中百合-196800,-115,3958,18750.0,4072,17500.0,1433.7222222222222
choysun,-179,305,41250.0,483,41250.0,483.0
cyxfxy,-203,305,8750.0,507,8750.0,507.0
101010584-801845,-898,3958,62500.0,4855,62500.0,1932.6
jd_49dad06a52598,-300,305,28750.0,604,22500.0,604.0
joheah,122,305,29000.0,182,29000.0,182.0
jd_5e37c096bf16e,25,3958,31250.0,3932,28571.428571428572,1322.7142857142858
jd_557af7db9eb85,-309,305,21250.0,613,21250.0,613.0
aaa15357699979,-414,305,22500.0,718,18125.0,718.0
jd_5f9ec9fd6d25d,-282,305,22250.0,586,22250.0,586.0
jd_5699bdc595b6c,-77,3958,12375.0,4034,12375.0,4034.0
jd_712582f752fcd,352,3958,8750.0,3605,8750.0,3605.0
haoyang0231h,239,3958,8750.0,3718,8750.0,2256.8
jd_5f6358dd64830,34,305,15000.0,270,15000.0,270.0
18202013148_p,-122,3958,62500.0,4079,52500.0,1034.8333333333333
15801705571_p,-343,3958,42500.0,4300,39250.0,2108.2
jd_683955db126e8,-46,3958,37500.0,4003,37500.0,2633.125
jd_5dcb028965112,-59,305,28125.0,363,28125.0,363.0
空灵袖,-597,305,45750.0,901,45500.0,901.0
jd_42f2312129ac6,-642,3958,41250.0,4599,41250.0,2163.6666666666665
jd_77c2e3a9d65e1,-630,305,23750.0,934,23750.0,934.0
zhuqing090309,253,3958,20000.0,3704,20000.0,1877.5
15823736449_p,148,3958,19500.0,3809,19178.571428571428,1721.5714285714287
jd_56a44a169222e,-298,3958,55000.0,4255,55000.0,1515.25
jd_75de4029f8446,-295,305,18750.0,599,18750.0,599.0
jd_6918547789f06,46,3958,3000.0,3911,3000.0,2997.75
wgs0714,10,305,32500.0,294,32500.0,294.0
wdMNGfGGmUAxKx,318,3958,6250.0,3639,6250.0,3639.0
jd_yuodlUVhzPrD,236,305,6250.0,68,6250.0,68.0
简单爱zxcvb,-133,3958,11250.0,4090,11250.0,2872.3333333333335
864675526_m,175,3958,10000.0,3782,10000.0,1346.6666666666667
64738774-655594,237,3958,17500.0,3720,17500.0,797.6
jd_406daa7d82fcd,-95,305,11000.0,399,11000.0,399.0
jd_7261ac017ee33,-577,3958,23750.0,4534,23750.0,1794.25
sd8520gg1110,-621,305,21250.0,925,21250.0,925.0
13366655398_p,247,305,7500.0,57,7500.0,57.0
824650892_m,-110,305,18750.0,414,18750.0,414.0
jd_54a95fa16f1c7,5,305,15000.0,299,15000.0,299.0
琳琳4918,-453,3958,61250.0,4410,61250.0,1278.857142857143
jd_6aa92c11cc424,-366,305,22500.0,670,22500.0,670.0
jd_42cc8ee0db39d,213,3958,6125.0,3744,6125.0,1917.5
ew9936,-333,3958,30625.0,4290,30625.0,3072.3333333333335
625122182_m,-74,305,6250.0,378,6250.0,378.0
jd_602325a8e7c2d,-337,3958,37375.0,4294,31830.35714285714,1684.7142857142858
jd_5274aa92cf507,-359,305,11250.0,663,11250.0,663.0
jd_7cb6c7a9dd5bc,169,3958,12500.0,3788,12500.0,1961.5
jd_57427668e66ca,185,305,6125.0,119,6125.0,119.0
jd_5235678f9e3e6,-170,305,7500.0,474,7500.0,474.0
jd_567efb54f297f,69,3958,30125.0,3888,28175.0,1696.2
jd_504e2d3a3088c,115,305,17500.0,189,17500.0,189.0
jd_4aa37ff95bdaa,-893,3958,25750.0,4850,21400.0,2292.9
jd_515401841810d,-387,305,26250.0,691,26250.0,691.0
jd_7bacf7ae60c1d,-569,3958,37500.0,4526,34375.0,3156.125
jd_78cd495e8a8f4,-339,305,42500.0,643,42500.0,643.0
jd_6d71c4efbb088,252,3958,2500.0,3705,2500.0,1878.5
C89995945,100,305,5000.0,204,5000.0,204.0
jd_65c258b7b399a,-108,3958,43750.0,4065,43750.0,1325.25
jd_4293a185f7f42,91,3958,5000.0,3866,4687.5,2039.5
jd_5b181315411f6,-424,3958,21000.0,4381,17823.529411764706,1802.4117647058824
jd_4be8afa49850e,62,3958,25000.0,3895,25000.0,1459.6666666666667
jd_49c051c48adf4,-645,3958,45000.0,4602,45000.0,2775.5
jd_56d9322deb208,-688,3958,61250.0,4645,61250.0,1702.3055555555557
18028730779_p,-615,3958,49500.0,4572,49125.0,1527.8333333333333
jd_6bb29ae54e88c,73,3958,11875.0,3884,11875.0,2057.5
jd_5c856c132525b,-381,305,18750.0,685,18750.0,685.0
jd_4c7ae132cf8ab,-57,305,19250.0,361,19250.0,361.0
jd_4d560c1bc2c29,253,3958,8750.0,3704,8750.0,3704.0
jd_455fd1eaa3bd9,190,3958,3375.0,3767,3375.0,3767.0
jd_40d5396d5e9ac,171,3958,5000.0,3786,4583.333333333333,1350.6666666666667
jd_746e8f2520f2e,5,3958,26250.0,3952,17968.75,755.625
jd_58955d7375633,-84,3958,10000.0,4041,10000.0,1301.25
96914_m,-35,3958,30750.0,3992,22916.666666666668,1556.6666666666667
jd_76a3cf8553573,20,3958,7500.0,3937,5625.0,3937.0
jd_4cc0ccf39cbe0,-274,3958,27500.0,4231,27500.0,3013.3333333333335
jd_6f07d7a4e1f5f,-681,305,41250.0,985,41250.0,985.0
jd_5875767269af1,-238,3958,22500.0,4195,22500.0,4195.0
jd_6ced069bf7b66,-53,305,25000.0,357,25000.0,357.0
jd_4059c1f600eba,46,305,11125.0,258,11125.0,258.0
jd_4834eaeaa778b,-286,3958,34750.0,4243,26687.5,1198.8333333333333
jd_58d7b83024951,261,3958,12500.0,3696,12500.0,3696.0
淼森自动化,-37,3958,8750.0,3994,8750.0,2776.3333333333335
jjasonn,-256,3958,39375.0,4213,36750.0,3482.4
13811936093_p,33,3958,95000.0,3924,74807.69230769231,833.0
jd_69d133bd327b2,135,3958,16375.0,3822,13875.0,1386.6666666666667
jd_4eabe2e2f8c2f,151,3958,9875.0,3806,8375.0,1614.2
新都汇,39,3958,47125.0,3918,47125.0,2352.4285714285716
jd_4ca704f1790e5,237,3958,17500.0,3720,17500.0,2989.4
chenjiangping781116,-280,3958,25000.0,4237,25000.0,1497.25
狗亮,236,3958,17500.0,3721,17500.0,1633.5714285714287
jd_69731cb114980,-604,3958,27250.0,4561,26750.0,2734.5
wdyMYnmlJbKhyp,157,3958,11250.0,3800,11250.0,1973.5
jd_74b09b44c4ea7,-311,3958,8750.0,4268,8750.0,4268.0
jd_4275aefb4ed98,-13,3958,35625.0,3970,22208.333333333332,1534.6666666666667
9199563524,-91,305,25000.0,395,25000.0,395.0
灿烂花会开,148,3958,7375.0,3809,7375.0,1373.6666666666667
木子数码影像,-810,305,62500.0,1114,62500.0,1114.0
jd_473828dddc784,-487,3958,35750.0,4444,35656.25,2160.875
jd_67cd39245326b,-677,305,43750.0,981,43750.0,981.0
jd_5d0b60233fc0b,154,3958,8750.0,3803,8750.0,1976.5
jd_6ee4bd546c5f3,225,3958,7500.0,3732,7500.0,1905.5
zhangmanman0908,-110,305,13750.0,414,13750.0,414.0
jd_7448bba785714,-107,3958,34625.0,4064,28812.5,2237.5
jd_482b784ce063f,41,305,28500.0,263,24343.75,263.0
jd_7ba677b2f3c77,168,305,25875.0,136,25875.0,136.0
wdNbscWqMlcHaXG,103,305,23500.0,201,16750.0,201.0
jd_62f3c15bbfdca,-54,3958,26250.0,4011,21000.0,1819.2
jd_6cd71a67c33a1,86,3958,11250.0,3871,11250.0,3871.0
jd_62dbc140dded1,-305,305,25000.0,609,19000.0,609.0
jd_5203a7c9d48df,322,3958,11375.0,3635,11375.0,3635.0
jd_6f9d828a834e4,219,305,7500.0,85,7500.0,85.0
jd_40823c4d7b2d5,55,3958,48500.0,3902,41071.42857142857,2858.285714285714
黑土270127771,-413,3958,11250.0,4370,12750.0,2908.8
jd_41272cfca129e,-440,305,36250.0,744,36250.0,744.0
jd_777966ea153f3,-81,3958,5625.0,4038,5156.25,3124.75
wdupTmmIfcbFmX,42,3958,11375.0,3915,10500.0,2697.3333333333335
15631688718_p,-800,3958,45000.0,4757,45000.0,3661.1
jd_4f925f7d05fc9,-303,305,12500.0,607,11562.5,607.0
wdojUTDVSUnWvG,262,305,6250.0,42,6250.0,42.0
戒骄戒躁_,207,3958,6125.0,3750,6125.0,1314.6666666666667
jd_6dd9247367958,-245,3958,51250.0,4202,51250.0,1462.25
番薯娃娃,176,3958,12250.0,3781,12250.0,3050.4
jd_40412d105b5f2,-308,3958,24375.0,4265,22500.0,1829.6666666666667
洋80235815,3,305,17500.0,301,17500.0,301.0
wangsulong,-592,3958,67500.0,4549,63750.0,2461.5714285714284
jd_792311bde9f78,-543,305,15000.0,847,15000.0,847.0
lhmfk,-598,305,17500.0,902,17500.0,902.0
219505110-167704,-590,3958,40750.0,4547,40617.64705882353,1108.8823529411766
jd_5e3ceb1f91afe,68,3958,33000.0,3889,30666.666666666668,1453.6666666666667
jd_4f6588b35d4b1,206,3958,13625.0,3751,13625.0,1315.6666666666667
jd_6f7ef03b2f926,143,305,18750.0,161,18750.0,161.0
15318887717_p,19,3958,24375.0,3938,18125.0,1502.6666666666667
jd_51c625cbcb181,276,305,2500.0,28,2500.0,28.0
jd_435a1facbf583,-64,3958,9000.0,4021,9000.0,2803.3333333333335
jd_746642fe8439f,-1039,3958,55000.0,4996,55000.0,4996.0
jd_650ad8a1d8f59,-178,3958,32500.0,4135,27638.88888888889,1293.7777777777778
257900628-449396,-299,305,33750.0,603,33750.0,603.0
jd_65d7123e1a15c,-379,3958,85000.0,4336,85000.0,2379.035714285714
jd_5831d2bfc1b27,16,305,17500.0,288,17500.0,288.0
jd_49b28a1f12dbd,-17,3958,29125.0,3974,18898.809523809523,842.8571428571429
jd_55e9cf856086f,95,3958,6250.0,3862,6250.0,2644.3333333333335
jd_53af8d0b5eb5b,-201,3958,38000.0,4158,37285.71428571428,1026.857142857143
18804175464_p,1,305,37500.0,303,37500.0,303.0
jd_5fd3392a9b675,-342,305,37500.0,646,37500.0,646.0
jd_70f52bae3608c,-398,3958,56250.0,4355,52083.333333333336,3137.3333333333335
wdXiwcBxamVbmn,-291,305,17500.0,595,17500.0,595.0
jd_71dedff696c30,-131,3958,42250.0,4088,42250.0,4088.0
15026905567_p,-37,305,30000.0,341,30000.0,341.0
wdvltkvzQUxjxe,-314,305,25000.0,618,25000.0,618.0
13549875215_p,-139,3958,40000.0,4096,40000.0,4096.0
luhuarong2,-241,3958,58750.0,4198,58750.0,2168.5555555555557
u_6869888ae5126,-816,3958,43125.0,4773,43125.0,4316.375
jd_67c7da435ed32,130,3958,9625.0,3827,9625.0,2000.5
jd_51ebda555e3bc,202,305,6125.0,102,6125.0,102.0
620007148_556343325,-410,305,47500.0,714,47500.0,714.0
jd_5593c7f2e5525,195,305,3750.0,109,3750.0,109.0
qqq853049162,97,3958,18750.0,3860,18750.0,1120.25
Fangyong52111,-84,305,14625.0,388,12375.0,388.0
宫沛军,-856,3958,33750.0,4813,33750.0,2377.6666666666665
蔡明俊96,-125,305,26250.0,429,25312.5,429.0
a5031153,-614,3958,72000.0,4571,71500.0,1729.7777777777778
jd_447722791064d,308,3958,6250.0,3649,6250.0,3649.0
jd_792740d95bbe9,76,3958,26250.0,3881,26250.0,2906.866666666667
cao12300,-353,305,11250.0,657,11250.0,657.0
jd_52159069bee43,76,3958,13750.0,3881,13750.0,1648.611111111111
lym_mad,-832,3958,86250.0,4789,86250.0,4789.0
无极刀叶,-587,305,41250.0,891,41250.0,891.0
847853530_m,-585,305,33750.0,889,33750.0,889.0
oyp5217590_m,-829,3958,43250.0,4786,43062.5,3872.75
jd_QWwSUeXbeJcf,249,3958,3750.0,3708,3750.0,1881.5
wdwDUkOLTlxzjl,-86,305,12500.0,390,12500.0,390.0
jd_7dbe73c440391,-630,3958,61250.0,4587,61250.0,2008.4117647058824
jd_4327c2834383b,373,3958,8750.0,3584,8750.0,3584.0
13372672962_p,-169,3958,40000.0,4126,39107.142857142855,4126.0
jd_790f4c8671fa4,-261,305,32500.0,565,32083.333333333332,565.0
jd_5060fab6ab964,-424,3958,27000.0,4381,22687.5,1641.25
刘涛三宝,262,305,6250.0,42,6250.0,42.0
jd_5b2e03690b787,-3,3958,29750.0,3960,25500.0,2133.5
587707172-816252,-617,3958,53750.0,4574,53750.0,2747.5
jd_41e1454f1848a,-988,3958,77500.0,4945,77500.0,4945.0
jd_4904dabf32e17,-624,305,41250.0,928,41250.0,928.0
jd_408a6c6d15383,-437,3958,62500.0,4394,52500.0,1737.2727272727273
ctrxexe_m,-26,305,21250.0,330,21250.0,330.0
jd_6f3484163de95,-46,3958,10375.0,4003,9208.333333333334,1567.6666666666667
jd_6babff270d404,-437,3958,34375.0,4394,32187.5,1471.6
hulingeren,-80,305,7500.0,384,7500.0,384.0
jd_6139ee3d6cfe4,-364,3958,41250.0,4321,35750.0,1398.6
jd_49019f6ea432b,-436,305,37500.0,740,37500.0,740.0
18691069601zx,-544,3958,33750.0,4501,27375.0,2674.5
13033087191_p,-403,305,36250.0,707,36250.0,707.0
jd_6c52d10ccbd90,201,3958,6125.0,3756,6125.0,1320.6666666666667
s2267572192750328,221,3958,11500.0,3736,11500.0,1300.6666666666667
13561367211_p,-857,3958,39500.0,4814,39000.0,2378.6666666666665
jd_647a23fe2bb2f,-137,3958,29625.0,4094,29625.0,4094.0
