cust_id,apply_amount,apply_dateDT
18675504947_p,5000.0,283
18686105603_p,9625.0,39
18697336580_p,12500.0,33
18702536718_p,33750.0,232
18772261138_p,21877.5,83
18797754561_p,40000.0,35
18798020479pyy,7500.0,38
18816526616_p,18000.0,209
18819168431_p,23750.0,119
18857666050_p,16250.0,37
18898292069_p,9250.0,375
18914616827_pbw,35000.0,212
18923782592_p,13750.0,66
18925624499,40000.0,118
19069810-707006,16106.25,87
1weiwei,12500.0,38
20733409-181170,27500.0,120
221319400-691293,56250.0,221
225499149-821442,50000.0,119
253884588-678008,42500.0,35
258532875_m,13658.75,84
258694772-983116,75000.0,186
262928028-18595744,8658.75,88
270181448-152421,25000.0,30
272653751-147899,33750.0,232
288031675-237640,45250.0,264
2姑奶,8750.0,40
310428749-319175,28750.0,31
327324889-995500,63750.0,34
334430833-412213,11250.0,30
34567565_m,15870.0,88
348635197-127198,27500.0,118
394157136_m,2500.0,202
440841376-634675,11375.0,222
457354636zxl,47500.0,166
49446565-710001,50000.0,57
5237990-71650145,15000.0,236
5589177-52153886,25000.0,30
582124645_m,10000.0,55
597068404,45000.0,119
610441715_m,6250.0,36
623248251_m,29750.0,361
662148352-138906,7500.0,27
668223510_130880328,53750.0,40
690076831zxc,20000.0,60
747332267_m,35000.0,119
76120395_m,63750.0,35
820013132_439638841,86250.0,34
973625256_m,22125.0,212
BBSr_0603,2471.25,68
Dilin207,12625.0,97
ElijahLiu,37500.0,209
JadeMrsHo,2500.0,82
LYN佳悦,15000.0,245
Love杰队,23750.0,65
Q13580459403,10000.0,35
WCCXWSF,6250.0,140
ZYGL122,24272.5,90
a316296717,18250.0,243
amuman,45000.0,207
aq805463012,26250.0,60
ccheng1991520,5903.75,70
chiaweiwoo,28250.0,224
cl965217,23750.0,238
cuiyushu,32500.0,119
dading0912,14625.0,202
daisy1688_m,12500.0,255
dalongge1216,5625.0,301
ding15055138218,18750.0,28
dxy3-2-201,8000.0,222
everyday11163,43750.0,238
gouzhaof33,15500.0,307
guhuagui,25000.0,30
gwkrZhang,25000.0,38
h318676572,6250.0,120
handankangqiao,6125.0,238
hjw901109,13750.0,57
hu394738800,57500.0,35
huanfeng520,25000.0,120
huijia0391,10000.0,27
jd_403ba5cc9b1ef,20000.0,28
jd_4079173e4839b,10000.0,119
jd_40a6417777fd2,16250.0,251
jd_40adff2f559fb,8750.0,34
jd_40e3f6a3f3caa,13750.0,262
jd_418dba326454f,7500.0,242
jd_41daf20d6345f,1375.0,104
jd_41ecb27219f1c,23750.0,35
jd_42177973cf6bc,10000.0,187
jd_422a368616580,35000.0,238
jd_423dbbd126846,25000.0,248
jd_42404003a2969,9000.0,248
jd_4262d48f814cf,7500.0,221
jd_426ccfff8e3b8,3750.0,237
jd_42859a6372f18,8750.0,243
jd_42fd4ff84049c,12500.0,65
jd_430a89b6565a8,5518.75,106
jd_430c0603d05cc,53750.0,264
jd_4322c13af9462,8750.0,353
jd_4325f79db11ca,20000.0,313
jd_434d28d5e97d5,46250.0,35
jd_4371429330983,5000.0,246
jd_439fc9d51e3e3,17500.0,240
jd_43aa526cc163b,13750.0,33
jd_43add72b02e5e,7500.0,36
jd_43d2ce6991c27,11250.0,222
jd_43ec58130bec0,17500.0,309
jd_4411dc6124e0a,6250.0,35
jd_443137f08eee7,8750.0,175
jd_4460b10c735b3,7500.0,41
jd_44639b608bae8,6250.0,313
jd_44a95c60d19ac,18750.0,28
jd_44cbaf990125b,11000.0,36
jd_44dc71bfb4a04,11250.0,119
jd_4537ee9ac3e4f,5000.0,232
jd_457547904efc9,13750.0,27
jd_457cd927b23c5,3750.0,243
jd_459f870181f1d,23750.0,209
jd_45a45f9e10f1e,22000.0,212
jd_45bac038fe3ea,50000.0,30
jd_45bbd3c5fb301,8750.0,356
jd_45c6fba01c924,6250.0,139
jd_45deabda32ec3,5000.0,251
jd_45e073cf93a2d,16000.0,33
jd_462d7b24137b4,11875.0,95
jd_4638aa3ac5052,60000.0,34
jd_463c3c7f76868,11750.0,247
jd_46921b925fef5,6250.0,102
jd_46d427c002fca,12750.0,104
jd_46e57e595b1b0,6250.0,244
jd_46f0a35d36031,6125.0,237
jd_473c3bdba7f0f,13750.0,75
jd_4743df045cea4,8750.0,39
jd_475494c1cc2c6,62500.0,33
jd_4782e00c2e891,5000.0,248
jd_47a1cbfe1af56,6250.0,38
jd_47ce93d570113,14885.0,200
jd_47d54d233615f,2250.0,241
jd_47d9740537635,2275.0,98
jd_480fe3626f42d,27500.0,215
jd_48140f55956d9,37500.0,250
jd_483868173713e,6250.0,118
jd_485800fa72351,31250.0,238
jd_48726ab0031ee,18500.0,210
jd_48b88e224bcc3,8750.0,244
jd_48ca419e377ec,3500.0,35
jd_48f1dd630619d,2500.0,104
jd_49242b36ceffb,15000.0,232
jd_494cfb437fd44,27500.0,238
jd_4956e17b0bdb3,3750.0,245
jd_49577909c0c31,19625.0,238
jd_49862df6ffc1a,20625.0,207
jd_4997aa73a9a26,5000.0,356
jd_49b44eeb96cda,8750.0,138
jd_49b56d4e6396c,4000.0,105
jd_49bbb5e9c05ca,8750.0,119
jd_49c0dcdfe8507,15000.0,120
jd_4a5e56fc2a440,5000.0,361
jd_4a656f09be1de,43750.0,117
jd_4a77a259f6af5,6750.0,222
jd_4a8f7a60b2d16,6125.0,237
jd_4a928bdc5d5b1,23875.0,208
jd_4a9b382f77eff,7500.0,241
jd_4aa2d3a3ccd81,37500.0,56
jd_4abfa3dc6fe83,38750.0,120
jd_4ac47b86fc63c,13750.0,56
jd_4aec94b74f17a,37500.0,119
jd_4b2fb74928afa,7500.0,223
jd_4b724ba324ebb,3750.0,242
jd_4bafe4ecab5b0,18375.0,355
jd_4bb1bcb2c415a,9750.0,313
jd_4bbd591d7cef6,7427.5,83
jd_4bc87a98d5678,22500.0,35
jd_4bd5af5a4cd5b,15125.0,29
jd_4c158ff93042a,2500.0,168
jd_4c33c0012c30a,12500.0,208
jd_4c3fb7c0bccc3,13750.0,34
jd_4c43c0d36ebd9,12975.0,56
jd_4c50c0c962047,12500.0,232
jd_4c50fd248a742,5625.0,96
jd_4c5650420c34c,46250.0,119
jd_4c807b0621c79,5250.0,98
jd_4c90fcdf6bf56,8625.0,238
jd_4c988cae43835,40000.0,29
jd_4cddca46f3949,6250.0,65
jd_4cef6ce4cf4de,13750.0,36
jd_4d047a2a0985e,20000.0,208
jd_4d1bc9a3ac50d,6375.0,103
jd_4d3d81c7c1cf5,8250.0,38
jd_4d6acbef93ee7,18750.0,160
jd_4d6cb1abdf63b,7000.0,239
jd_4d761e4758eca,12625.0,200
jd_4d84e386fab7f,28750.0,29
jd_4da070524882e,15000.0,35
jd_4dafdb16f347f,6250.0,243
jd_4ddb7aa591b9a,26250.0,159
jd_4e0a9f32d21b7,3750.0,32
jd_4e147f0fc3883,13125.0,241
jd_4e2bb7592b253,12500.0,253
jd_4e3baa9859e33,36250.0,120
jd_4e40d8bccbd54,46375.0,238
jd_4e6256866f402,33750.0,32
jd_4e9e99a373d8e,20500.0,232
jd_4ea3f7b1986f8,4500.0,287
jd_4eb21736b062f,3750.0,238
jd_4eb4fa5e5c41c,18750.0,313
jd_4f044c19a5c99,30000.0,34
jd_4f07698058397,25000.0,266
jd_4f16f2879ccad,8625.0,263
jd_4f35ca91b99ac,18375.0,237
jd_4f368decfdfc8,10000.0,152
jd_4f3fae81e8fd1,35000.0,101
jd_4f419766efbdb,8750.0,313
jd_4f750f91d8990,28250.0,238
jd_4f8d4bcd0cd06,26250.0,120
jd_4f8f81ca881ff,3750.0,112
jd_4fa58c83d1281,5000.0,237
jd_4fa947c6e30a1,3715.0,98
jd_4fb5d507ab7d1,8500.0,237
jd_4fc3de3390ef1,19125.0,231
jd_4fe31e6ea7b89,15000.0,35
jd_500ef06a4d021,7500.0,243
jd_5018c84a2685c,20000.0,210
jd_501b268d10a22,6250.0,253
jd_502be6922ebc7,38750.0,34
jd_513d74bdc6e33,2500.0,236
jd_515343979db97,8625.0,287
jd_518a515aa6a6a,17625.0,237
jd_51b3f8d7778e5,30000.0,224
jd_51b650f8be570,17500.0,246
jd_51c67eb699afd,32500.0,36
jd_52150d8a782d7,30000.0,287
jd_522c8e8bd1e87,12500.0,221
jd_5251366699435,14641.25,203
jd_529faf99537cc,26250.0,36
jd_52a718d9d07db,5000.0,96
jd_52a7444daba16,5625.0,237
jd_52b7ca7c05ce5,17500.0,271
jd_52bde892a28df,25000.0,207
jd_52c22c533f804,7500.0,294
jd_52c4c806b1963,20750.0,212
jd_52fd3bf8bbfe9,3750.0,241
jd_532c9d2062c4c,5625.0,98
jd_534ae56e79f48,37500.0,210
jd_53672a2597177,15125.0,98
jd_5378f804329d1,8432.5,89
jd_53a844ed6a610,6125.0,244
jd_53fa662e13994,31250.0,239
jd_5409089000da2,3812.5,96
jd_5418a9a67f35f,26250.0,56
jd_54234bb3ed488,30000.0,258
jd_544f926a2f7c3,17500.0,224
jd_546f4925d9f4d,33750.0,257
jd_54c67448d24b5,19125.0,239
jd_54c9c7d9f165b,62500.0,119
jd_54f18489e1e9a,17500.0,237
jd_54fcb8e58304c,6125.0,239
jd_551a5546ff785,8750.0,65
jd_552ca57bee2ee,8750.0,29
jd_554f754d9c27a,2756.25,69
jd_5570d87784308,15000.0,29
jd_557f700780757,15875.0,83
jd_559945fb07b26,17500.0,28
jd_55df1571b12c6,26250.0,65
jd_55f58dd0271f3,30000.0,31
jd_56007b15e68f1,5000.0,260
jd_56118ed8b1f1b,6250.0,56
jd_561723b28c90d,13750.0,238
jd_564248e521048,5000.0,290
jd_5653e52a29b4e,3750.0,191
jd_5664de479f42d,7500.0,236
jd_56c0ab9457ce8,18750.0,232
jd_56ee6c58f8d8a,21250.0,35
jd_571589fa4a7b4,18750.0,34
jd_573b9ba833296,10000.0,238
jd_5755c079b4e26,25000.0,236
jd_5762ec64ca864,17500.0,41
jd_577d2eb46f6bb,13398.75,72
jd_577d42dd6abbf,12500.0,37
jd_5787e8aa83d0e,36250.0,232
jd_578f534724a26,17875.0,126
jd_57a69d8930ff6,8750.0,98
jd_57b03b3e97919,71250.0,232
jd_57c3ddc9b4642,10000.0,70
jd_5805ca9cc8c91,18250.0,224
jd_581f38d72790b,3750.0,239
jd_582d5e7dada3e,25000.0,34
jd_589c98accc330,8750.0,28
jd_58b273d1e4166,14000.0,231
jd_58b59a07e6d48,16250.0,119
jd_58cd5c75f3ca5,15487.5,88
jd_58cd8e17b4344,20000.0,60
jd_58d36441fe817,40000.0,207
jd_58f3212c9253a,13750.0,213
jd_5905ec961abe1,9625.0,294
jd_595985765054d,21250.0,34
jd_5975a8f5e4584,6250.0,258
jd_59897bba976bc,13750.0,30
jd_5995d8294aa70,16750.0,257
jd_59ae793e68257,9875.0,139
jd_59b8dc8735895,7500.0,103
jd_59db53126da44,6346.25,95
jd_59e37efa0da95,37500.0,35
jd_5a02eb066f4f9,46250.0,212
jd_5a33fdf101e07,45000.0,32
jd_5a5071759ad16,8000.0,241
jd_5a583b821cead,8875.0,98
jd_5aa69c423ae37,8250.0,349
jd_5b1181730cd87,57500.0,35
jd_5b1e3f9687d39,7250.0,241
jd_5b3777538a8ce,25000.0,32
jd_5b69442fe7569,3750.0,39
jd_5b71efc653fa6,50250.0,163
jd_5b8abf13fde94,22500.0,243
jd_5b97737dddfff,8750.0,37
jd_5bceea6113266,14375.0,238
jd_5bd722383fafc,12500.0,221
jd_5c12533458caa,10000.0,105
jd_5c64d951d7b51,7250.0,237
jd_5c93ca963b800,5375.0,71
jd_5ca47962b3bff,9198.75,88
jd_5cb0a593ebf0c,3750.0,242
jd_5cc2ac086629d,2625.0,103
jd_5ccf4798e4d55,61250.0,31
jd_5cd62c246ffa4,6250.0,28
jd_5cd6c343b1c27,3125.0,206
jd_5cf51694cedd5,22500.0,35
jd_5cfa2c17fd1be,12775.0,89
jd_5d062c26bc7d2,7756.25,83
jd_5d21c7c29db1a,25000.0,37
jd_5d28cfcd2ff23,15000.0,313
jd_5d6bcd086e397,37500.0,57
jd_5d7cdec7e49dd,9026.25,69
jd_5d82df00761ad,12500.0,119
jd_5d84314768d6b,32500.0,56
jd_5d9e60479b56d,29375.0,230
jd_5dd2e02e7907b,23750.0,56
jd_5df0d043fd903,6125.0,237
jd_5e07dc7eaf902,16625.0,238
jd_5e34352c915bc,10000.0,36
jd_5e63023685a9e,13750.0,250
jd_5e686c5eeb431,6250.0,241
jd_5e8d2da2f3c6e,13750.0,28
jd_5e970e63c6559,5000.0,112
jd_5e9d6ab42f03e,25000.0,225
jd_5ea0b893e97b4,5500.0,243
jd_5eda589f63305,53750.0,119
jd_5edb1b3a41afe,6000.0,241
jd_5f1417118943d,5000.0,194
jd_5f2a279740ab2,11250.0,222
jd_5f6fd3da747fc,12500.0,36
jd_5f99bc8b32496,8125.0,242
jd_5fa34cdab04b1,10000.0,38
jd_5fb315765d83e,7500.0,236
jd_601a754b926f5,2875.0,87
jd_602b8ac828921,15125.0,141
jd_6047b54cb83bb,7500.0,40
jd_6059a302138c5,13750.0,241
jd_60aea42328da3,15000.0,259
jd_60be948b70ad0,35000.0,136
jd_60cfd550ad806,6390.0,97
jd_60e1aaef3f631,3125.0,238
jd_60fda948ee0f0,51250.0,30
jd_616707f58603e,13848.75,83
jd_619207365d13a,30500.0,210
jd_61dc4dc6e9f09,1256.25,87
jd_61e5bac1410a4,16000.0,94
jd_6220d6f950a2e,20000.0,116
jd_6221eebd51807,32500.0,212
jd_625c8a6d700d8,7500.0,257
jd_6262514e34c2c,40000.0,34
jd_62cd88648e9a6,7500.0,32
jd_62d3d16ef708f,7000.0,236
jd_62d86338f9351,13750.0,32
jd_6312c35eee10c,37500.0,221
jd_63319faaaab33,16250.0,253
jd_639e575d89d7d,18750.0,56
jd_639f43181584b,9000.0,241
jd_63a243350c561,90000.0,232
jd_63b614272e820,8750.0,105
jd_63bbb21ca7ce1,8750.0,33
jd_63c771db09f9c,5000.0,217
jd_63cae5c9d95e4,3125.0,238
jd_63cd780f32bf2,11250.0,39
jd_63f278f3bcfea,10000.0,89
jd_63f87725327d0,18750.0,101
jd_64aa369e431fc,7750.0,172
jd_64c2ed334fdaa,25000.0,29
jd_64e1bd419a3fb,12500.0,36
jd_64e31358cd3de,12875.0,69
jd_651470999fed5,13750.0,31
jd_6526297801f40,12500.0,237
jd_653185c5e3282,33750.0,232
jd_6537f47d63779,45000.0,65
jd_6558d9953db51,5972.5,74
jd_656a21658063c,37500.0,209
jd_657591616f1d5,12500.0,65
jd_65760f7a94638,10125.0,293
jd_657dad8f7746a,7500.0,236
jd_6585134dd78f9,19500.0,238
jd_659bfae7f5ca4,6250.0,238
jd_65a7779adc820,14875.0,161
jd_65dcd604fbc90,6750.0,236
jd_65f84264131aa,4640.0,75
jd_65fbd4518baf0,8375.0,208
jd_6600249590854,26250.0,41
jd_66126b86340c5,6641.25,82
jd_66364ed08561b,21250.0,120
jd_66412c56c7fc6,6250.0,36
jd_668dd0139e6f0,6875.0,98
jd_66c398032a469,6250.0,28
jd_66ce8d1ec14b8,62500.0,119
jd_670f76d76b9bd,6250.0,243
jd_6782e989bf2d8,9000.0,366
jd_67aab6ba3cfa9,17000.0,265
jd_67abd68ff1476,6125.0,237
jd_67bfb1c9cd16f,21481.25,95
jd_67ce5d5421fa5,12500.0,35
jd_67d9b36506262,10000.0,36
jd_67e32fcd167c7,36500.0,221
jd_6844a57e7a86b,20000.0,120
jd_684c0210736e3,12500.0,112
jd_6867075eccf1c,25000.0,119
jd_689fdd8522f22,3866.25,82
jd_68f26a6ded96a,6250.0,239
jd_691e7c501d85d,7625.0,241
jd_6929143638212,6125.0,238
jd_6951b7576992d,17375.0,238
jd_69a0b1f78948e,6250.0,56
jd_69fe0d2799500,7500.0,241
jd_69fe83f0296e7,8750.0,248
jd_6a030b31f54a8,18750.0,56
jd_6a0d9b3a1557b,21250.0,38
jd_6a1a0785c8a49,7875.0,241
jd_6a44a422c900f,11250.0,96
jd_6a8741dcf4057,1887.5,103
jd_6a8d669a495bc,25000.0,30
jd_6a9360f04bd49,12500.0,32
jd_6aa7a6d4b19c1,13750.0,232
jd_6ad65e343e13d,37500.0,33
jd_6b07d6e5dcb5e,17500.0,221
jd_6b20608229564,12500.0,247
jd_6b6dab3a8a3ab,5000.0,103
jd_6b765f01e7cec,6250.0,253
jd_6b8afaacd981b,23750.0,35
jd_6b8c85e3c6579,13341.25,73
jd_6b8d08116f3f9,19125.0,238
jd_6ba399797db12,12500.0,230
jd_6bc634991eb99,12500.0,39
jd_6bef31dd67673,6250.0,36
jd_6c05fa6326286,12753.75,82
jd_6c9917c757e46,6250.0,94
jd_6cad61776e4b6,66250.0,56
jd_6cd330a635ecd,10000.0,112
jd_6ce4062dabb5b,10000.0,198
jd_6d2b31a3463fe,6250.0,243
jd_6d962d78827b9,11250.0,117
jd_6d97f71b801a4,23750.0,101
jd_6da28b2c47036,52500.0,35
jd_6da6f46e678d7,27500.0,56
jd_6dc43322b0f05,28375.0,241
jd_6dcc9a7ad73fd,4375.0,68
jd_6dd639c0739a5,15000.0,237
jd_6ddbd71c4bba0,7500.0,236
jd_6ddc572d887d0,10000.0,241
jd_6df31b28c4591,6125.0,242
jd_6df99155e6aad,8250.0,133
jd_6e40e681cdb6d,15000.0,118
jd_6e82331138ea0,7500.0,221
jd_6e94e5241e196,30000.0,181
jd_6eb3fde447732,15586.25,84
jd_6ec21b75e3b29,27500.0,33
jd_6effd5a206c6d,26125.0,56
jd_6f173e36fa17f,5000.0,250
jd_6f224ff048794,20000.0,194
jd_6f2a4cac14edd,7500.0,39
jd_6f4b27e0cc536,5000.0,248
jd_6f59b38007a74,33750.0,41
jd_6f673c1b9d90b,5000.0,313
jd_6f7c5e6b21283,7500.0,117
jd_6f9671a019e58,55000.0,212
jd_6f9c48dd0d613,43750.0,28
jd_6f9e70bee42b5,8250.0,36
jd_6fab991e338b1,3750.0,236
jd_6fce485183795,25000.0,212
jd_6fe0c53100265,20000.0,376
jd_6fe5dc021f620,6125.0,238
jd_6ff990cab8a65,7250.0,206
jd_70147baedf407,13750.0,117
jd_701876298526a,71250.0,31
jd_70438c7b4e724,33500.0,248
jd_708f68eadbe19,22500.0,238
jd_70b1507b63ea5,21250.0,30
jd_70f8c98b609f0,20000.0,238
jd_71138cb2ab079,23875.0,249
jd_711a62ddf0626,42500.0,160
jd_7134165ff7055,6125.0,237
jd_7135f864e0fbe,16000.0,241
jd_717978631ff87,6250.0,241
jd_7213a8786966f,5625.0,242
jd_723622c95f854,8347.5,70
jd_72b3814de2dd0,6250.0,258
jd_72c6a97f28e2b,52500.0,238
jd_72d5d32e62756,7500.0,38
jd_730a4bd8b2519,7500.0,65
jd_7317d0fad21d4,21750.0,224
jd_731a45dcc2144,15750.0,208
jd_7329f0dfc0e52,7500.0,38
jd_73322814be045,8720.0,87
jd_73610f6870501,7875.0,236
jd_7377bb0c70365,30000.0,118
jd_738e2531d48f2,6250.0,116
jd_73bd0b12db4da,48750.0,248
jd_73d2394c51c02,5375.0,90
jd_73e0dd317315c,2551.25,87
jd_73e8f8b31cfd4,3750.0,237
jd_74530bef66f7e,20000.0,118
jd_746756bb8e299,3750.0,265
jd_746f192515365,38250.0,119
jd_74779f3401970,7500.0,164
jd_749b3ff880a9a,26250.0,65
jd_74a9ff77d731d,20250.0,230
jd_74ca28699b51c,43750.0,222
jd_74dc1b418f22b,6125.0,237
jd_74f3a7c84476f,6250.0,250
jd_750148b2b378c,1606.25,102
jd_75254b8e10e1e,11250.0,140
jd_754db0d6a3df8,1250.0,37
jd_757a1499603dd,7500.0,237
jd_75ba849708ef2,71250.0,28
jd_75de2de0830e6,18750.0,166
jd_75eeeaf773df3,7500.0,238
jd_761a7be5a9e2e,10000.0,98
jd_762938c79e41f,3750.0,277
jd_7644447c8fa93,16250.0,167
jd_76916b2e027c2,23125.0,118
jd_769887dfb94a9,17931.25,69
jd_76cfff65b2450,18750.0,56
jd_7732e62550c81,8750.0,241
jd_7769740f6a586,2500.0,136
jd_77ce83648d3c1,35000.0,248
jd_77cf2bedcefff,17500.0,235
jd_77de502bde1ac,7250.0,230
jd_78219d33b3e2c,12500.0,55
jd_7836fa9c1ab52,10125.0,375
jd_784d23540be00,5000.0,211
jd_785179d522dc9,13750.0,242
jd_785abf2526db0,7125.0,96
jd_786c2d6615d75,7500.0,233
jd_78896ebe11b15,15000.0,32
jd_7895f74b0990b,35000.0,170
jd_78d08c47670a3,30000.0,116
jd_78f6172e99e7f,13750.0,38
jd_790dce7f80ee1,648.75,105
jd_7931e89834852,4500.0,206
jd_7963106ec020b,10000.0,236
jd_7964996d46828,8750.0,210
jd_797037791f8e9,5276.25,68
jd_79806ab454d62,21250.0,35
jd_7a07f792ca5ca,11250.0,29
jd_7a450a3b1fd82,10000.0,70
jd_7aa2d465a4eb8,12500.0,118
jd_7ac53dc4e7faa,31250.0,119
jd_7aef329ab0c36,8250.0,86
jd_7b0d653336656,21250.0,120
jd_7b17e40c7c1c7,35000.0,251
jd_7b35bd64d71d1,6250.0,232
jd_7b457c284ff00,2250.0,287
jd_7baa2a4757dfc,3750.0,238
jd_7bab6855fba0c,33282.5,89
jd_7bc56973fd53b,11250.0,287
jd_7bd6de46b49a4,7250.0,238
jd_7bee937358842,7587.5,68
jd_7c26d83783d81,16250.0,32
jd_7c2812fa0c179,8750.0,221
jd_7c50f97932b9d,3750.0,239
jd_7c5ae9d452e71,11875.0,170
jd_7cab4d38c2362,8750.0,36
jd_7ce8d1396c8d5,14000.0,221
jd_7d12cc12e5bfa,64375.0,212
jd_7d7750dbf1528,20000.0,207
jd_7d939345ffd04,6250.0,237
jd_7dc8d707a9299,13750.0,95
jd_7dd2f1a7dc0e2,62500.0,31
jd_7dda3e07bca8a,26250.0,29
jd_7de7f0f16b196,10000.0,30
jd_7df892907f7fc,17500.0,286
jd_7e09e6ddf7e3e,11250.0,118
jd_7e3450fb1bf32,19220.0,85
jd_7e6e8add0b9b7,36250.0,120
jd_7e818581bb1db,8250.0,36
jd_7e9cd729a8065,16553.75,83
jd_7eb127bbc6d07,6250.0,376
jd_7eeff933c75b1,36250.0,236
jd_7ef89a06c0b47,10787.5,68
jd_7f240611102ca,6250.0,288
jd_7f3bd37285e8b,5000.0,280
jd_7f5201297514c,46250.0,119
jd_7f6249609d575,41250.0,180
jd_7fb05f953d49f,6250.0,103
jd_7ff13d69ef17c,8750.0,248
jd_7ff9fa6536f5d,23125.0,354
jd_FvjVyHUSWeNG,3750.0,247
jd_GwCRVkfBYIAY,25000.0,362
jd_PQRFEqjrVVzE,7500.0,223
jd_PaEglbWcpuFH,14250.0,265
jdyangwenqu,11000.0,26
jiao493440697,50000.0,37
jingchun12_m,97500.0,31
jingdong346541893,15125.0,36
jx13145601,631.25,98
kent818_m,10778.75,97
kerwinyue,46250.0,31
kinzre,57500.0,30
kk826678118,32500.0,119
ldy841119,12142.5,83
leeyl86,65000.0,210
leeyongzhao815,75000.0,32
legend07f3z,38750.0,35
li230245,15000.0,221
li657218054,51250.0,119
likangwu2016,28750.0,120
lin6143008,11250.0,224
liu02160039,18750.0,210
ljb8331901,20000.0,217
longhuili123,23375.0,119
lpl15372442012,8750.0,37
lsn660,17500.0,265
lutaixin520,11125.0,169
lxdjd2016,8750.0,238
lys252792792,18750.0,29
maochanghua810,21273.75,203
maosixiangshi0427,49375.0,34
mujinlau,62500.0,35
nick103,10000.0,28
nmf555410,18750.0,41
nobunaga_7,25000.0,32
nwpuxinpeng,15531.25,89
ohyhe,50000.0,206
panqing1998,28750.0,212
plp19690909,16250.0,308
pz79697009,62500.0,221
qaz16888,26250.0,35
qiao970939480,14500.0,65
qingjianyy,31250.0,34
quan780223,63750.0,119
relang112,36250.0,41
s1685216553815709,103750.0,232
s450837786,6250.0,56
saysha,6250.0,241
starchshi,50000.0,35
stylehsu88,3750.0,239
suozimeng,12180.0,85
tcy414,7500.0,223
tony20120121,32500.0,56
trian23,8750.0,65
trind,11870.0,69
txkapo,45000.0,207
vodas,21250.0,35
wang13100915589,12500.0,237
wangyuesong1986,50000.0,37
wdAvHjbOrzfIdY,26000.0,210
wdBwhtqzyXlbQJ,29500.0,238
wdCognsNPmYsze,13750.0,356
